date,store_id,daily_sales
2024-01-01,Walmart_Store_42,20745.07122951685
2024-01-02,Walmart_Store_42,19792.603548243223
2024-01-03,Walmart_Store_42,20971.532807151038
2024-01-04,Walmart_Store_42,22284.544784612037
2024-01-05,Walmart_Store_42,19648.769937914996
2024-01-06,Walmart_Store_42,19648.79456457623
2024-01-07,Walmart_Store_42,22368.81922326109
2024-01-08,Walmart_Store_42,21151.152093729364
2024-01-09,Walmart_Store_42,19295.78842109757
2024-01-10,Walmart_Store_42,20813.840065378947
2024-01-11,Walmart_Store_42,5000.0
2024-01-12,Walmart_Store_42,19301.405369644614
2024-01-13,Walmart_Store_42,20362.943407349052
2024-01-14,Walmart_Store_42,17130.0796330133
2024-01-15,Walmart_Store_42,17412.623251230452
2024-01-16,Walmart_Store_42,19156.56870613854
2024-01-17,Walmart_Store_42,18480.753319498363
2024-01-18,Walmart_Store_42,20471.37099889291
2024-01-19,Walmart_Store_42,18637.963886718182
2024-01-20,Walmart_Store_42,17881.54444799706
2024-01-21,Walmart_Store_42,22198.473153382332
2024-01-22,Walmart_Store_42,19661.335549270196
2024-01-23,Walmart_Store_42,20101.292307031887
2024-01-24,Walmart_Store_42,17862.877720679815
2024-01-25,Walmart_Store_42,19183.425913212224
2024-01-26,Walmart_Store_42,20166.3838845648
2024-01-27,Walmart_Store_42,18273.509633866546
2024-01-28,Walmart_Store_42,20563.547027518507
2024-01-29,Walmart_Store_42,19099.041965121793
2024-01-30,Walmart_Store_42,19562.459375310085
2024-01-31,Walmart_Store_42,19097.440081655906
2024-02-01,Walmart_Store_42,22778.417276763408
2024-02-02,Walmart_Store_42,19979.7541628931
2024-02-03,Walmart_Store_42,18413.43360656615
2024-02-04,Walmart_Store_42,21233.817368154785
2024-02-05,Walmart_Store_42,18168.734525043466
2024-02-06,Walmart_Store_42,20313.295392507134
2024-02-07,Walmart_Store_42,17060.494814180336
2024-02-08,Walmart_Store_42,18007.720926652353
2024-02-09,Walmart_Store_42,20295.291853803687
2024-02-10,Walmart_Store_42,21107.699869993117
2024-02-11,Walmart_Store_42,20257.052421784956
2024-02-12,Walmart_Store_42,19826.52757641764
2024-02-13,Walmart_Store_42,19548.344456616065
2024-02-14,Walmart_Store_42,17782.21701444886
2024-02-15,Walmart_Store_42,40000.0
2024-02-16,Walmart_Store_42,19309.04184356032
2024-02-17,Walmart_Store_42,21585.683339328374
2024-02-18,Walmart_Store_42,20515.427434352692
2024-02-19,Walmart_Store_42,17355.4397669559
2024-02-20,Walmart_Store_42,20486.125954092193
2024-02-21,Walmart_Store_42,19422.376579375526
2024-02-22,Walmart_Store_42,18984.61699954106
2024-02-23,Walmart_Store_42,20917.5144332613
2024-02-24,Walmart_Store_42,21546.499283743928
2024-02-25,Walmart_Store_42,21396.9201786743
2024-02-26,Walmart_Store_42,18741.17371516604
2024-02-27,Walmart_Store_42,19536.181436223178
2024-02-28,Walmart_Store_42,20496.895147105344
2024-02-29,Walmart_Store_42,21463.31769068354
2024-03-01,Walmart_Store_42,19281.238643232064
2024-03-02,Walmart_Store_42,19721.511535004276
2024-03-03,Walmart_Store_42,18340.49753899096
2024-03-04,Walmart_Store_42,18205.690063878996
2024-03-05,Walmart_Store_42,21218.788733591296
2024-03-06,Walmart_Store_42,22034.360042856235
2024-03-07,Walmart_Store_42,19891.984817629498
2024-03-08,Walmart_Store_42,21505.299346838037
2024-03-09,Walmart_Store_42,20542.45403757145
2024-03-10,Walmart_Store_42,19032.320368092314
2024-03-11,Walmart_Store_42,20542.09340826262
2024-03-12,Walmart_Store_42,22307.054849698954
2024-03-13,Walmart_Store_42,19946.260941335073
2024-03-14,Walmart_Store_42,22346.96548372101
2024-03-15,Walmart_Store_42,16070.382343865384
2024-03-16,Walmart_Store_42,1000.0
2024-03-17,Walmart_Store_42,20130.570602357257
2024-03-18,Walmart_Store_42,19551.4889743012
2024-03-19,Walmart_Store_42,20137.64116480325
2024-03-20,Walmart_Store_42,17018.64662809866
2024-03-21,Walmart_Store_42,19670.49216824373
2024-03-22,Walmart_Store_42,20535.66885726762
2024-03-23,Walmart_Store_42,22216.841067112273
2024-03-24,Walmart_Store_42,19222.59467258953
2024-03-25,Walmart_Store_42,18787.25959566022
2024-03-26,Walmart_Store_42,19247.364434623196
2024-03-27,Walmart_Store_42,21373.10317655311
2024-03-28,Walmart_Store_42,20493.126664489526
2024-03-29,Walmart_Store_42,19205.35969434944
2024-03-30,Walmart_Store_42,20769.901149670033
2024-03-31,Walmart_Store_42,20145.61632402206
2024-04-01,Walmart_Store_42,21452.967485799334
2024-04-02,Walmart_Store_42,18946.920359183972
2024-04-03,Walmart_Store_42,19508.506780103347
2024-04-04,Walmart_Store_42,19411.837770301765
2024-04-05,Walmart_Store_42,17804.727577801823
2024-04-06,Walmart_Store_42,20444.180415596864
2024-04-07,Walmart_Store_42,20391.582908269833
2024-04-08,Walmart_Store_42,20007.670184963692
2024-04-09,Walmart_Store_42,19648.11929993728
