region,sales,product
New York,150,Wireless Earbuds
Los Angeles,200,Smart Speaker
Chicago,50,Bluetooth Keyboard
Houston,300,Smartwatch
Phoenix,120,Tablet Stand
Philadelphia,180,Wireless Mouse
San Antonio,90,USB-C Hub
San Diego,250,External Hard Drive
Dallas,75,Noise-Canceling Headphones
San Jose,400,Smart Thermostat
Austin,110,Robot Vacuum
Jacksonville,130,Air Purifier
Fort Worth,220,Smart Light Bulbs
Columbus,95,Wireless Charger
Charlotte,160,Home Security Camera
San Francisco,270,Bluetooth Speaker
Indianapolis,85,Portable Monitor
Seattle,140,Smart Plug
Denver,190,Streaming Device
Washington,230,Wireless Router
Boston,100,Smart Doorbell
El Paso,170,Desk Lamp
Nashville,60,Printer
Detroit,210,Smart Scale
Portland,150,Wireless Keyboard
Las Vegas,180,Smart Display
Memphis,90,Power Bank
Louisville,120,Bluetooth Adapter
Baltimore,200,Smart Lock
Milwaukee,110,Webcam
